MAG	CUBHE	ConsistencyHE	CPB	FilteredSequences	d	LowerCI	UpperCI
SRR6744236_metabat_06	
SRR6744236_metabat_07	0.9531362	0.5523866	-0.4610875	20	0.447403	0.3422327	0.5910995
SRR6744236_metabat_08	1.014544	0.4260543	-0.434933	14	0.09311566	0.06398547	0.1383872
SRR6744236_metabat_09	
SRR6744236_metabat_10	0.7193371	0.4327955	-0.4113374	135	0.6808207	0.5090688	0.9219408
SRR6744236_metabat_11	0.8644382	0.5671693	-0.3697101	160	1.027018	0.7981018	1.333978
SRR6744236_metabat_12	0.8587189	0.4744172	-0.3699068	73	0.3872588	0.3012346	0.5024773
SRR6744236_metabat_13	0.57753	0.4687652	-0.4399072	96	3.524515	2.80501	4.462452
SRR6744236_metabat_14	
SRR6744236_metabat_15	0.7268508	0.5016764	-0.4108895	82	1.43583	1.231579	1.679664
SRR6744236_metabat_16	0.7458783	0.347787	-0.40884	94	0.2358601	0.1476804	0.3894114
SRR6744236_metabat_17	0.7808695	0.3771734	-0.3319628	61	0.2490142	0.1649601	0.3855953
SRR6744236_metabat_18	
SRR6744236_metabat_19	0.6783791	0.3607871	-0.3501891	28	0.4234805	0.2698212	0.6853673
SRR6744236_metabat_20	0.5394242	0.4343897	-0.2672292	100	3.130497	2.260411	4.404205
SRR6744241_metabat_1	0.8962689	0.4952848	-0.3842601	81	0.369491	0.2893961	0.4758971
SRR6744241_metabat_2	0.7256722	0.4523166	-0.3821873	66	0.8078585	0.6311451	1.043325
SRR6744243_metabat_1	0.9001971	0.4849525	-0.3821394	195	0.3240849	0.2505832	0.423236
SRR6744249_metabat_1	0.6238751	0.500163	-0.4225935	110	3.522977	3.000566	4.15179
SRR6744249_metabat_2	0.6601102	0.5046365	-0.4035682	118	2.673041	2.311917	3.099987
SRR6744249_metabat_3	0.9618326	0.5040417	-0.3828177	195	0.2591926	0.1975312	0.3438144
SRR6744249_metabat_4	1.131389	0.2114094	-0.4388951	17	0.01125474	0.005980683	0.02253737
SRR6744251_metabat_1	0.768744	0.4635644	-0.3776727	203	0.6604904	0.5228025	0.8411373
SRR6744252_metabat_1	0.8974244	0.5293836	-0.4108349	18	0.5231093	0.4159356	0.662972
SRR6744252_metabat_2	1.083844	0.461653	-0.4086096	17	0.08468815	0.05913823	0.1236295
SRR6744255_metabat_1	0.6225525	0.4936724	-0.3276068	463	3.258875	2.760369	3.862795
SRR6744255_metabat_2	0.6244543	0.4427575	-0.3624775	33	1.636832	1.249815	2.166756
SRR6744259_metabat_1	0.6194183	0.4752796	-0.3958439	48	2.610455	2.146269	3.192785
SRR6744259_metabat_2	0.6750454	0.5357136	-0.4075183	40	3.565184	3.002306	4.251748
SRR6744263_metabat_1	0.6520355	0.5403502	-0.4004339	53	4.763988	3.916303	5.827605
SRR6744263_metabat_2	0.628678	0.4725925	-0.3874244	18	2.316712	1.899507	2.841808
SRR6744263_metabat_3	0.6083965	0.4119354	-0.3534517	27	1.279631	0.9020458	1.848596
SRR6744263_metabat_4	0.7707911	0.4685702	-0.3774693	230	0.687518	0.5492579	0.866941
SRR6744263_metabat_5	
SRR6744263_metabat_6	
SRR6744266_metabat_01	1.022267	0.4772483	-0.4111877	11	0.1383575	0.1003652	0.1936662
SRR6744266_metabat_02	0.6543913	0.5185429	-0.4028564	23	3.410834	2.933676	3.978636
SRR6744266_metabat_03	0.6452397	0.5108976	-0.3899716	54	3.343164	2.879219	3.894406
SRR6744266_metabat_04	0.6629467	0.5253554	-0.3860279	247	3.45929	2.959243	4.058113
SRR6744266_metabat_05	0.7731652	0.5827663	-0.3212944	242	2.726266	2.042512	3.683929
SRR6744266_metabat_06	0.7006061	0.5461289	-0.3203076	242	3.237483	2.677442	3.935245
SRR6744266_metabat_07	0.9503596	0.4931152	-0.4246776	9	0.2514304	0.191174	0.3343516
SRR6744266_metabat_08	0.5072262	0.4081072	-0.445019	78	2.945234	1.960045	4.537154
SRR6744266_metabat_09	0.9742892	0.4623581	-0.4068097	28	0.1620627	0.1180583	0.2257998
SRR6744266_metabat_10	0.6850535	0.5826553	-0.4007173	96	6.413222	4.608759	9.069911
SRR6744266_metabat_11	0.6338902	0.5594324	-0.4596819	78	7.655999	5.806049	10.20971
SRR6744266_metabat_12	0.6147609	0.5501627	-0.3748767	72	8.114199	6.256183	10.62904
SRR6744266_metabat_13	0.6420689	0.5494201	-0.4058113	76	6.027605	4.779294	7.66206
SRR6744266_metabat_14	0.8582694	0.4619282	-0.4154693	34	0.3421614	0.2611093	0.453218
SRR6744266_metabat_15	0.6139726	0.5148319	-0.4127912	56	4.784521	4.031752	5.702005
SRR6744266_metabat_16	0.9541595	0.5162083	-0.4186693	33	0.3073042	0.2365346	0.4032851
SRR6744266_metabat_17	1.1523	0.4141717	-0.3884553	14	0.04054023	0.02650788	0.06370823
SRR6744266_metabat_18	0.6755917	0.508045	-0.4673306	42	2.431089	2.110012	2.809147
SRR6744266_metabat_19	0.6091777	0.5359187	-0.3659837	68	6.894129	5.540796	8.638003
SRR6744266_metabat_20	0.5865285	0.5304769	-0.3830713	456	8.04546	6.405866	10.1817
SRR6744266_metabat_21	0.6717969	0.5203942	-0.4560917	32	2.972862	2.567028	3.453584
SRR6744269_metabat_1	0.8899909	0.3980888	-0.3778582	110	0.1520039	0.1033022	0.2287148
SRR6744269_metabat_2	0.960313	0.5371884	-0.3827221	58	0.3637926	0.2794265	0.4784997
SRR6744269_metabat_3	0.8372716	0.3143274	-0.3994273	33	0.1000185	0.05951391	0.175152
SRR6744271_metabat_1	0.7697612	0.4736867	-0.3808326	135	0.7336524	0.5921452	0.915084
SRR6744271_metabat_2	0.9412565	0.2124081	-0.3920624	38	0.02653193	0.0139094	0.05400572
SRR6744272_metabat_1	0.5687554	0.4599188	-0.3855729	15	3.384787	2.632833	4.391967
SRR6744272_metabat_2	0.9413958	0.5291953	-0.3920675	29	0.382179	0.2967894	0.4967734
SRR6744272_metabat_3	0.6270843	0.5003078	-0.419162	69	3.424333	2.921525	4.028347
SRR6744272_metabat_4	0.9588961	0.4578347	-0.3968516	14	0.1710231	0.124651	0.2381477
SRR6744272_metabat_5	0.942607	0.4165534	-0.3923425	10	0.1304439	0.09022195	0.1924615
SRR6744272_metabat_6	0.6576122	0.5534163	-0.4112344	62	5.463706	4.322693	6.961552
SRR6744273_metabat_1	0.7480005	0.4638742	-0.3773736	139	0.7756754	0.6183204	0.9804116
SRR6744280_metabat_1	0.6260172	0.4825402	-0.3949315	97	2.710203	2.263522	3.260344
SRR6744281_metabat_1	0.9168242	0.4940154	-0.3905668	116	0.3170063	0.245353	0.4135503
SRR6744281_metabat_2	0.7388219	0.4556548	-0.3853839	72	0.7583979	0.5953166	0.9744834
SRR6744281_metabat_3	0.6482581	0.5082465	-0.403633	86	3.132697	2.70244	3.642923
SRR6744283_metabat_1	0.7295425	0.4811776	-0.3976007	71	1.095854	0.9099164	1.32643
SRR6744284_metabat_1	0.7736659	0.4722877	-0.3784095	201	0.7011849	0.5636097	0.8784355
SRR6744286_metabat_1	0.9907528	0.5418205	-0.4747855	32	0.3097434	0.2340291	0.4147243
SRR6744286_metabat_2	0.658899	0.5155954	-0.3911963	72	3.138432	2.710635	3.64503
SRR6744287_metabat_1	0.6108224	0.4748566	-0.3950184	26	2.808042	2.299493	3.449041
SRR6744287_metabat_2	0.6878177	0.5427934	-0.4038711	26	3.487048	2.898376	4.216164
SRR6744287_metabat_3	0.6278135	0.3956177	-0.3783626	15	0.902504	0.6148819	1.354167
SRR6744292_metabat_1	0.6607089	0.4622145	-0.3897994	44	1.53509	1.234738	1.921752
SRR6744293_metabat_1	0.6254962	0.4758758	-0.4020467	39	2.49016	2.053737	3.035666
SRR6744293_metabat_2	0.6652355	0.5266713	-0.390884	45	3.447892	2.945801	4.050044
SRR6744294_metabat_1	0.9689838	0.5311228	-0.3806553	20	0.3225423	0.2468753	0.4258519
SRR6744294_metabat_2	1.014707	0.4524175	-0.3976623	30	0.1164353	0.08257909	0.1670788
SRR6744294_metabat_3	0.9840059	0.4602958	-0.3990576	14	0.1499054	0.1085224	0.2102968
SRR6744294_metabat_4	0.6884262	0.5191121	-0.4039825	39	2.508848	2.174619	2.902999
SRR6744294_metabat_5	0.6418444	0.4770397	-0.3963843	25	2.184158	1.812598	2.645208
SRR6744294_metabat_6	1.067675	0.5006039	-0.4251166	52	0.1295704	0.09371952	0.1819432
SRR6744294_metabat_7	0.9056748	0.4732709	-0.4556509	21	0.278315	0.2115814	0.3701675
SRR6744294_metabat_8	0.6373724	0.5101238	-0.3992436	60	3.563093	3.058274	4.165272
SRR6744296_metabat_1	0.6232848	0.3722594	-0.3796258	48	0.716642	0.4625666	1.142831
SRR6744300_metabat_1	0.8494717	0.2095117	-0.3800389	130	0.04075325	0.02100763	0.08467012
SRR6744300_metabat_2	0.7305406	0.4530063	-0.3922065	67	0.7842603	0.6130895	1.012173
SRR6744302_metabat_1	0.4988541	0.2269396	-0.4007186	110	0.3738926	0.1747449	0.8769071
SRR6744302_metabat_2	0.4819674	0.2330058	-0.403039	88	0.4480713	0.2091563	1.052506
SRR6744307_metabat_01	0.4430595	0.2384379	-0.4147491	110	0.6301812	0.2888901	1.514416
SRR6744307_metabat_02	0.4793581	0.2437557	-0.3227905	264	0.511421	0.2423225	1.179011
SRR6744307_metabat_03	0.8931959	0.2059588	-0.3999367	153	0.03195111	0.01651792	0.06614949
SRR6744307_metabat_04	0.3737877	0.2475555	-0.400763	78	1.200537	0.527186	3.047399
SRR6744307_metabat_05	0.5661256	0.3310753	-0.46893	47	0.6975315	0.4047012	1.258127
SRR6744307_metabat_06	0.3776427	0.1202161	-0.4234611	75	0.292405	0.1093859	0.9164823
SRR6744307_metabat_07	0.7955876	0.3163998	-0.4021399	50	0.1299264	0.07734373	0.2274109
SRR6744307_metabat_08	0.8593891	0.4254938	-0.3941458	11	0.2375106	0.170241	0.3368605
SRR6744307_metabat_09	0.6195595	0.5063305	-0.3987297	52	4.006257	3.407121	4.728676
SRR6744307_metabat_10	0.8278865	0.3473005	-0.3763864	28	0.1406741	0.08826944	0.2316885
SRR6744307_metabat_11	0.502049	0.3670794	-0.4007327	73	1.795912	1.086701	3.084275
SRR6744307_metabat_12	0.4337755	0.243902	-0.4312761	101	0.7179131	0.3296239	1.72184
SRR6744307_metabat_13	0.8440979	0.5550774	-0.3915415	8	1.047824	0.8369506	1.321538
SRR6744307_metabat_14	0.7382608	0.5748698	-0.3961552	51	3.384824	2.581926	4.4855
SRR6744307_metabat_15	0.6206327	0.5663769	-0.3864271	84	9.866028	7.170339	13.78152
SRR6744307_metabat_16	0.3770974	0.3354049	-0.3239511	162	3.653706	1.863819	7.68857
SRR6744309_metabat_01	0.6607119	0.2423798	-0.3884499	221	0.1516994	0.07811526	0.3155842
SRR6744309_metabat_02	
SRR6744309_metabat_03	
SRR6744309_metabat_04	0.5091737	0.2559162	-0.3941272	44	0.4695548	0.2310097	1.033056
SRR6744309_metabat_05	0.9456249	0.5347	-0.4314449	21	0.3926504	0.3040457	0.5119661
SRR6744309_metabat_06	0.4810665	0.3867013	-0.4061028	19	2.801909	1.744045	4.657498
SRR6744309_metabat_07	0.3189361	0.1734926	-0.4326828	44	0.7808598	0.2945268	2.420416
SRR6744309_metabat_08	0.6621752	0.5409534	-0.4029245	32	4.349104	3.591103	5.295258
SRR6744309_metabat_09	0.3367321	0.1358844	-0.4143318	63	0.454548	0.1670528	1.459329
SRR6744309_metabat_10	1.099922	0.458799	-0.4083542	14	0.07565117	0.05239509	0.1114508
SRR6744309_metabat_11	0.6256488	0.4754045	-0.397014	41	2.471153	2.036232	3.015356
SRR6744309_metabat_12	0.5146364	0.2589712	-0.4044613	80	0.4663541	0.2313036	1.015793
SRR6744309_metabat_13	0.4218743	0.2797474	-0.4337395	79	1.194517	0.5759074	2.694761
SRR6744309_metabat_14	0.6041254	0.3211818	-0.3720829	89	0.4739009	0.2737156	0.8593084
SRR6744309_metabat_15	0.4458747	0.2573962	-0.3440584	135	0.7618596	0.3605654	1.758925
SRR6744309_metabat_16	0.5370969	0.4404999	-0.4255903	360	3.483047	2.545829	4.835091
SRR6744309_metabat_17	0.5003589	0.3875363	-0.4095475	54	2.377664	1.503472	3.881568
SRR6744309_metabat_18	0.4953694	0.273372	-0.3231278	179	0.6264581	0.3147096	1.343234
SRR6744309_metabat_19	0.3418642	0.1121442	-0.3720379	153	0.3436005	0.1236892	1.134728
SRR6744309_metabat_20	0.5709035	0.3808619	-0.4678028	38	1.19524	0.7730538	1.901657
SRR6744309_metabat_21	
SRR6744309_metabat_22	0.5978591	0.4976208	-0.3351386	86	4.366941	3.654251	5.242717
SRR6744310_metabat_01	0.359431	0.2211588	-0.3820289	211	0.985243	0.4108726	2.673485
SRR6744310_metabat_02	0.6697977	0.5166917	-0.3745504	69	2.879181	2.492608	3.335702
SRR6744310_metabat_03	0.4027668	0.1462654	-0.4486209	84	0.3197309	0.1256309	0.9382967
SRR6744310_metabat_04	0.8935225	0.4922005	-0.4243206	20	0.3649262	0.2853598	0.4708327
SRR6744310_metabat_05	0.8669086	0.5079714	-0.393631	33	0.51911	0.4174566	0.6500061
SRR6744310_metabat_06	
SRR6744310_metabat_07	1.044881	0.4363387	-0.3900644	8	0.08546846	0.05892233	0.1265614
SRR6744310_metabat_08	0.6760381	0.3418015	-0.4067106	72	0.3543047	0.2172386	0.599255
SRR6744310_metabat_09	0.705824	0.2709297	-0.4447503	177	0.1489457	0.0811874	0.2892835
SRR6744310_metabat_10	1.042435	0.4465033	-0.4109556	28	0.09432248	0.06582044	0.1377996
SRR6744310_metabat_11	0.5321652	0.433944	-0.4192083	347	3.330543	2.390998	4.715524
SRR6744310_metabat_12	0.5341357	0.3520035	-0.3982123	77	1.140337	0.6804376	1.990449
SRR6744310_metabat_13	0.6677175	0.5163618	-0.3888408	35	2.921902	2.528864	3.386215
SRR6744310_metabat_14	0.6687509	0.3415839	-0.4194413	60	0.3717209	0.2274843	0.6300933
SRR6744311_metabat_1	0.9548156	0.4791682	-0.3924833	12	0.2138745	0.1601056	0.2892553
SRR6744311_metabat_2	1.003461	0.3893507	-0.3870414	14	0.07321429	0.04808456	0.1144806
SRR6744311_metabat_3	1.02123	0.4141717	-0.3927608	8	0.08125516	0.05490594	0.1230482
SRR6744311_metabat_4	0.8936792	0.5289583	-0.3973085	13	0.5350952	0.4263537	0.6766549
SRR6744311_metabat_5	0.481258	0.2359346	-0.4220901	77	0.4643905	0.2176486	1.085337
SRR6744311_metabat_6	0.637354	0.4977498	-0.4015283	75	3.002018	2.568125	3.521607
SRR6744311_metabat_7	1.026309	0.4671408	-0.4157706	62	0.1235785	0.08864238	0.17513
SRR6744316_metabat_01	0.9442917	0.5261362	-0.3925628	30	0.3631006	0.2815289	0.4727767
SRR6744316_metabat_02	1.148132	0.4860119	-0.4600139	24	0.07236141	0.05024597	0.1062991
SRR6744316_metabat_03	0.9203237	0.5385166	-0.455563	19	0.4886776	0.3829526	0.6290437
SRR6744316_metabat_04	0.9719432	0.460971	-0.4027174	11	0.1623624	0.1181917	0.2263956
SRR6744316_metabat_05	0.6385613	0.2791399	-0.4026695	79	0.2453826	0.1329705	0.4799464
SRR6744316_metabat_06	0.9719313	0.3690095	-0.4223616	5	0.07383444	0.04739871	0.1184754
SRR6744316_metabat_07	0.9445993	0.4217172	-0.3865051	11	0.1348999	0.09396928	0.1974697
SRR6744316_metabat_08	0.4904967	0.2655551	-0.4369492	256	0.5962976	0.2947471	1.304302
SRR6744316_metabat_09	0.6612941	0.2805903	-0.3828551	138	0.2148323	0.1175284	0.4154338
SRR6744316_metabat_10	0.6780292	0.2952536	-0.3960085	56	0.2216692	0.1248803	0.4139422
SRR6744316_metabat_11	0.4696886	0.3273113	-0.3982888	76	1.436356	0.7833412	2.787946
SRR6744316_metabat_12	0.6697621	0.4067816	-0.3899876	107	0.7411821	0.5217333	1.07243
SRR6744316_metabat_13	0.4553753	0.3933704	-0.4774225	93	3.914968	2.41955	6.561296
SRR6744317_metabat_1	0.5838142	0.2596903	-0.4019903	109	0.2914242	0.1497711	0.6077048
SRR6744317_metabat_2	0.7726816	0.5204408	-0.4021666	16	1.235405	1.049652	1.459629
SRR6744317_metabat_3	0.9257745	0.5502334	-0.3722887	54	0.5322877	0.4130678	0.6924171
SRR6744318_metabat_01	0.6375689	0.4948026	-0.4163581	37	2.877882	2.455223	3.385634
SRR6744318_metabat_02	0.7048334	0.5541818	-0.4058262	35	3.4797	2.814218	4.330906
SRR6744318_metabat_03	0.5637823	0.4601349	-0.3811327	29	3.55891	2.760964	4.631049
SRR6744318_metabat_04	0.564625	0.4668291	-0.3957142	18	3.880131	3.05125	4.976076
SRR6744318_metabat_05	0.6157659	0.4728075	-0.4000367	42	2.610623	2.133102	3.214081
SRR6744318_metabat_06	0.7098646	0.5350208	-0.4105704	17	2.555228	2.172027	3.017545
SRR6744318_metabat_07	0.6340916	0.3151632	-0.4099107	62	0.3608565	0.2080994	0.655527
SRR6744318_metabat_08	0.9476427	0.2651464	-0.3987499	113	0.03757864	0.0210014	0.07084434
SRR6744318_metabat_09	0.5993177	0.2915696	-0.4100398	59	0.3608138	0.1969759	0.6994843
SRR6744318_metabat_10	0.8721314	0.3070973	-0.40092	64	0.07738158	0.04561655	0.1369938
SRR6744318_metabat_11	0.6682433	0.1980603	-0.4624204	47	0.09864055	0.04782861	0.220959
SRR6744318_metabat_12	0.8268691	0.2022586	-0.4240131	126	0.04329325	0.0220252	0.09140353
SRR6744318_metabat_13	0.613171	0.4905034	-0.3465202	42	3.40675	2.862571	4.072224
SRR6744320_metabat_1	0.4635507	0.2766466	-0.424758	78	0.8273067	0.4093859	1.80713
SRR6744320_metabat_2	0.5342021	0.4777211	-0.4323157	419	6.16145	4.795873	7.989063
SRR6744320_metabat_3	0.9404703	0.421783	-0.3942195	100	0.1383637	0.0964987	0.2022684
SRR6744320_metabat_4	1.017625	0.395946	-0.3928546	37	0.07145407	0.04720492	0.1109896
SRR6744320_metabat_5	0.84438	0.2989331	-0.314741	91	0.08445953	0.04911371	0.1519341
SRR6744323_metabat_1	0.6398357	0.3971223	-0.4033082	93	0.8361208	0.57307	1.246212
SRR6744324_metabat_1	0.5971435	0.2994014	-0.3964538	80	0.3968064	0.2194971	0.757259
SRR6744324_metabat_2	0.975225	0.3534202	-0.397281	39	0.06399146	0.04018231	0.1053052
SRR6744324_metabat_3	0.5086245	0.2836957	-0.3213408	140	0.63571	0.3276945	1.320787
SRR6744325_metabat_1	0.7266059	0.4860194	-0.3816207	73	1.189047	0.9970756	1.42437
SRR6744325_metabat_2	0.4407472	0.212806	-0.3267753	348	0.4861718	0.214224	1.228669
SRR6744325_metabat_3	0.636635	0.4729644	-0.3511878	34	2.168707	1.782781	2.652951
SRR6744327_metabat_1	0.434661	0.2311731	-0.4253574	73	0.6194267	0.279127	1.521315
SRR6744327_metabat_2	0.5097841	0.2582948	-0.3925743	71	0.4793885	0.236848	1.049191
SRR6744327_metabat_3	0.9429459	0.2775839	-0.3926921	86	0.04220481	0.02395746	0.07810939
SRR6744327_metabat_4	1.106748	0.03333333	-0.393791	32	0.004405664	0.002000837	0.0107137
SRR6744328_metabat_1	0.5437092	0.2895017	-0.3583644	362	0.5230553	0.2776093	1.048946
SRR6744328_metabat_2	0.9291717	0.3218011	-0.3392688	26	0.06379447	0.03843313	0.1101177
SRR6744328_metabat_3	0.6996657	0.5209901	-0.3537026	63	2.324593	2.012901	2.692594
SRR6744330_metabat_1	0.6453448	0.2008947	-0.3971374	92	0.1153936	0.05570242	0.2599249
SRR6744330_metabat_2	0.9505183	0.4649763	-0.3815219	35	0.1924586	0.1420059	0.2644238
SRR6744332_metabat_1	0.7258378	0.308826	-0.3968135	41	0.1858311	0.1082566	0.3335863
SRR6744332_metabat_2	0.7754231	0.2845214	-0.4805668	34	0.110924	0.06261924	0.2066341
SRR6744332_metabat_3	1.023472	0.4672752	-0.4096913	42	0.12582	0.09036342	0.1780607
SRR6744332_metabat_4	0.6965814	0.5524044	-0.3570277	32	3.671308	2.976888	4.556818
SRR6744337_metabat_1	0.8505355	0.318589	-0.4135021	38	0.096101	0.05759518	0.1668907
SRR6744337_metabat_2	0.6360499	0.1991083	-0.3971137	88	0.1199978	0.05758077	0.2723084
SRR6744337_metabat_3	
SRR6744337_metabat_4	0.6585291	0.4424011	-0.3864706	20	1.226088	0.9396761	1.616526
SRR6744337_metabat_5	0.4228694	0.2221733	-0.3201095	223	0.612661	0.270024	1.547863
SRR6744341_metabat_1	0.8672509	0.2099119	-0.3854921	102	0.03738074	0.0193371	0.07733125
SRR6744341_metabat_2	0.738375	0.446244	-0.3837482	97	0.6849005	0.5265441	0.8999759
SRR6744341_metabat_3	0.9706446	0.2935787	-0.3848496	20	0.04133325	0.0239666	0.07460535
SRR6744341_metabat_4	0.9785445	0.4927956	-0.3886228	29	0.2089718	0.156679	0.2821472
SRR6744341_metabat_5	0.6566874	0.5103012	-0.3910918	54	2.979113	2.57671	3.454846
SRR6744344_metabat_1	0.5687556	0.4987129	-0.3974253	75	5.938213	4.843957	7.323771
SRR6744345_metabat_1	0.5444918	0.4468135	-0.4513501	408	3.546971	2.641846	4.823597
SRR6744345_metabat_2	0.5198972	0.2708032	-0.318272	195	0.5090059	0.258248	1.078241
SRR6744345_metabat_3	0.4289127	0.4038201	-0.4289245	59	5.932998	3.646515	10.00701
SRR6744345_metabat_4	
SRR6744345_metabat_5	0.667965	0.5693477	-0.380495	71	6.24762	4.686752	8.430399
SRR6744348_metabat_01	0.5749245	0.4849137	-0.4055175	50	4.550682	3.705207	5.62358
SRR6744348_metabat_02	0.6413	0.4977896	-0.4198726	41	2.895839	2.480759	3.392088
SRR6744348_metabat_03	0.6754098	0.4923422	-0.4605186	32	1.982248	1.695559	2.325603
SRR6744348_metabat_04	0.6499551	0.4901426	-0.4671539	14	2.414451	2.054116	2.848747
SRR6744348_metabat_05	0.7478324	0.3838166	-0.4066965	47	0.3312703	0.2224499	0.5051923
SRR6744348_metabat_06	0.5489375	0.4462824	-0.3903799	79	3.375518	2.518603	4.581593
SRR6744348_metabat_07	0.3085412	0.2506749	-0.4416431	59	2.174601	0.8963039	5.991806
SRR6744348_metabat_08	0.8170461	0.3625126	-0.3754628	45	0.1723936	0.1110614	0.2755147
SRR6744348_metabat_09	
SRR6744348_metabat_10	0.6421899	0.122807	-0.4011362	18	0.06161972	0.02698025	0.1569971
SRR6744348_metabat_11	0.8999599	0.3974322	-0.4469939	17	0.1422524	0.09639906	0.2147283
SRR6744348_metabat_12	0.5972107	0.5214257	-0.3855223	40	6.253322	5.140996	7.648876
SRR6744350_metabat_1	0.5463464	0.262302	-0.3959576	89	0.386151	0.1958575	0.8182963
SRR6744351_metabat_1	0.4991243	0.237303	-0.3960648	127	0.4151246	0.1971295	0.9543769
SRR6744351_metabat_2	0.9266039	0.4160518	-0.3801657	25	0.1429517	0.09919516	0.2101542
SRR6744351_metabat_3	1.042512	0.4408621	-0.4122124	33	0.08993441	0.06236547	0.1323089
SRR6744351_metabat_4	1.091727	0.3913998	-0.387897	48	0.04652594	0.03010366	0.07399118
SRR6744351_metabat_5	0.8763535	0.5723307	-0.4297965	52	0.9924243	0.761081	1.307554
SRR6744352_metabat_1	0.4669339	0.2176085	-0.3874461	98	0.4244183	0.1917473	1.038954
SRR6744357_metabat_01	0.6263138	0.2743332	-0.4028085	70	0.2537947	0.1358599	0.5037348
SRR6744357_metabat_02	0.5590121	0.4578956	-0.3982119	14	3.609013	2.778472	4.735148
SRR6744357_metabat_03	1.138754	0.4122646	-0.3702608	12	0.04280834	0.02803033	0.06716549
SRR6744357_metabat_04	0.4695294	0.3100087	-0.3260878	293	1.165405	0.6147759	2.354395
SRR6744357_metabat_05	0.6296368	0.4991709	-0.4060605	29	3.290391	2.808845	3.868481
SRR6744357_metabat_06	0.8650966	0.5495047	-0.3766872	25	0.8325134	0.6645364	1.050717
SRR6744357_metabat_07	0.6078491	0.4785452	-0.3958951	40	3.035286	2.499436	3.706296
SRR6744357_metabat_08	0.6327773	0.3767822	-0.3942208	67	0.7014835	0.4584036	1.103111
SRR6744357_metabat_09	0.5093378	0.3337187	-0.3802294	54	1.120542	0.6350311	2.077836
SRR6744357_metabat_10	0.8008721	0.2744105	-0.4332851	63	0.08802066	0.04912314	0.1662142
SRR6744357_metabat_11	0.5228626	0.2991915	-0.4014127	93	0.6780707	0.3622939	1.348916
SRR6744357_metabat_12	0.9929794	0.2895185	-0.3946823	96	0.03585984	0.02068829	0.06511079
SRR6744357_metabat_13	0.6422088	0.5046066	-0.4274693	28	3.152724	2.712322	3.676643
SRR6744357_metabat_14	0.7210875	0.5109847	-0.3704978	58	1.693373	1.464601	1.963845
SRR6744359_metabat_1	0.6675377	0.2606496	-0.3892813	92	0.1716489	0.09109786	0.3442469
SRR6744359_metabat_2	0.5422348	0.2239541	-0.377832	136	0.2706776	0.1290201	0.6193774
SRR6744364_metabat_1	0.5848716	0.3924632	-0.4006824	77	1.22628	0.8190558	1.881387
SRR6744364_metabat_2	0.6235044	0.471289	-0.3947171	20	2.385285	1.947615	2.938838
SRR6744368_metabat_1	0.9517399	0.5329805	-0.3944038	47	0.3697844	0.2855162	0.4836494
SRR6744368_metabat_2	0.9720228	0.4648556	-0.3927415	18	0.168114	0.1229374	0.2332484
SRR6744368_metabat_3	
SRR6744368_metabat_4	0.6354878	0.4954299	-0.3976198	50	2.95903	2.524266	3.48137
SRR6744369_metabat_1	0.9641629	0.5334027	-0.3842014	21	0.3410013	0.2615948	0.4491253
SRR6744369_metabat_2	0.9958988	0.4531108	-0.394669	9	0.1309234	0.09356334	0.1862981
SRR6744369_metabat_3	0.6562273	0.5252316	-0.389973	32	3.681325	3.14067	4.330831
SRR6744369_metabat_4	0.9733295	0.459333	-0.3975542	13	0.1586178	0.1151762	0.2217844
SRR6744369_metabat_5	0.6244776	0.4758074	-0.3995499	40	2.510928	2.069953	3.062408
SRR6744369_metabat_6	0.924574	0.4430022	-0.3989802	32	0.1848096	0.1336482	0.2595668
SRR6744372_metabat_1	0.617481	0.4865897	-0.4078169	46	3.099015	2.596281	3.715945
SRR6744372_metabat_2	0.7554689	0.5387328	-0.3953493	23	1.791266	1.507543	2.13758
SRR6744373_metabat_1	0.6227638	0.4778211	-0.3854743	48	2.620033	2.167209	3.184089
SRR6744377_metabat_1	0.9140222	0.5232023	-0.3924404	23	0.4351512	0.342858	0.5569011
SRR6744377_metabat_2	1.019373	0.4582899	-0.396278	9	0.1191989	0.08494547	0.1701413
SRR6744377_metabat_3	1.105949	0.417971	-0.4176234	22	0.05297271	0.03517804	0.08180126
SRR6744377_metabat_4	0.9201151	0.5362911	-0.4077293	25	0.4780235	0.374945	0.6147283
SRR6744377_metabat_5	0.5076652	0.2789279	-0.3998314	94	0.6076604	0.310465	1.276263
SRR6744377_metabat_6	0.6632553	0.498066	-0.3987562	47	2.379595	2.049047	2.772411
SRR6744379_metabat_1	0.6368425	0.4619113	-0.3948007	50	1.876149	1.504347	2.356565
SRR6744382_metabat_1	0.6654593	0.5247947	-0.4004066	33	3.351786	2.872536	3.924477
SRR6744382_metabat_2	0.6084381	-0.01190476	-0.3816541	11	0.02679181	0.01014349	0.08262659
SRR6744382_metabat_3	0.6305314	0.4793636	-0.3970105	32	2.492592	2.072703	3.01239
SRR6744383_metabat_1	0.6203792	0.4744707	-0.3864567	34	2.55983	2.101927	3.135154
SRR6744384_metabat_1	0.6221908	0.3642806	-0.3623456	23	0.661231	0.4193287	1.075905
SRR6744386_metabat_1	0.4341581	0.2744181	-0.4007143	90	1.015535	0.4899797	2.28887
SRR6744389_metabat_1	0.5414923	0.1683229	-0.380324	144	0.1612809	0.0711768	0.406782
