,sample,ARG,AMR_category,MGE_prediction
SRR6744216_80,SRR6744216,AXYY,multidrug,phage
SRR6744216_81,SRR6744216,VANXD,glycopeptide,plasmid
SRR6744220_1,SRR6744220,RPOB2,multidrug,phage
SRR6744220_2,SRR6744220,LSAC,multidrug,phage
SRR6744220_3,SRR6744220,VANU,glycopeptide,chromosome
SRR6744220_4,SRR6744220,ERMB,MLS,ambiguous (phage/chromosome)
SRR6744220_5,SRR6744220,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6744220_6,SRR6744220,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744222_1,SRR6744222,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6744222_2,SRR6744222,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744222_3,SRR6744222,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744222_4,SRR6744222,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6744222_5,SRR6744222,CATQ,phenicol,ambiguous (plasmid/phage)
SRR6744222_6,SRR6744222,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6744222_7,SRR6744222,TETQ,tetracycline,phage
SRR6744223_1,SRR6744223,TET(C),tetracycline,phage
SRR6744223_2,SRR6744223,LRA-17,beta-lactam,unclassified
SRR6744224_1,SRR6744224,TETM,tetracycline,plasmid
SRR6744224_2,SRR6744224,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,unclassified
SRR6744224_3,SRR6744224,TET(W/N/W),tetracycline,plasmid
SRR6744226_1,SRR6744226,LSAC,multidrug,plasmid
SRR6744226_2,SRR6744226,TETQ,tetracycline,unclassified
SRR6744226_3,SRR6744226,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744227_1,SRR6744227,ABCA,multidrug,chromosome
SRR6744227_2,SRR6744227,MUXB,multidrug,unclassified
SRR6744227_3,SRR6744227,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744227_4,SRR6744227,PATA,fluoroquinolone,plasmid
SRR6744227_5,SRR6744227,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744227_6,SRR6744227,POXTA,multidrug,chromosome
SRR6744227_7,SRR6744227,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744227_8,SRR6744227,VANU,glycopeptide,unclassified
SRR6744227_9,SRR6744227,ABCA,multidrug,chromosome
SRR6744228_1,SRR6744228,ERMF,MLS,unclassified
SRR6744228_2,SRR6744228,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744228_3,SRR6744228,ACINETOBACTER BAUMANNII ABAF,fosfomycin,unclassified
SRR6744228_4,SRR6744228,SHV-63,beta-lactam,unclassified
SRR6744228_5,SRR6744228,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744228_6,SRR6744228,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6744228_7,SRR6744228,VANU,glycopeptide,unclassified
SRR6744228_8,SRR6744228,MEFA,MLS,unclassified
SRR6744228_9,SRR6744228,MEL,multidrug,unclassified
SRR6744228_10,SRR6744228,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744228_11,SRR6744228,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744228_12,SRR6744228,RPOB2,multidrug,chromosome
SRR6744228_13,SRR6744228,TETM,tetracycline,plasmid
SRR6744228_14,SRR6744228,ERMB,MLS,plasmid
SRR6744228_15,SRR6744228,GOB-16,beta-lactam,chromosome
SRR6744230_1,SRR6744230,TETM,tetracycline,unclassified
SRR6744230_2,SRR6744230,RPOB2,multidrug,chromosome
SRR6744230_3,SRR6744230,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744230_4,SRR6744230,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744233_1,SRR6744233,POXTA,multidrug,chromosome
SRR6744233_2,SRR6744233,ESCHERICHIA COLI EF-TU MUTANTS CONFERRING RESISTANCE TO PULVOMYCIN,elfamycin,unclassified
SRR6744233_3,SRR6744233,CAMP-REGULATORY_PROTEIN,unclassified,chromosome
SRR6744233_4,SRR6744233,CFXA3,beta-lactam,plasmid
SRR6744233_5,SRR6744233,TETM,tetracycline,unclassified
SRR6744233_6,SRR6744233,TETM,tetracycline,unclassified
SRR6744233_7,SRR6744233,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744233_8,SRR6744233,RPOB2,multidrug,chromosome
SRR6744233_9,SRR6744233,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744233_10,SRR6744233,PBP-1A,beta-lactam,chromosome
SRR6744233_11,SRR6744233,ABCA,multidrug,unclassified
SRR6744233_12,SRR6744233,RPOB2,multidrug,chromosome
SRR6744233_13,SRR6744233,TETQ,tetracycline,unclassified
SRR6744233_14,SRR6744233,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744233_15,SRR6744233,ERMF,MLS,unclassified
SRR6744233_16,SRR6744233,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744233_17,SRR6744233,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,unclassified
SRR6744233_18,SRR6744233,TET34,tetracycline,chromosome
SRR6744233_19,SRR6744233,ERMY,MLS,unclassified
SRR6744233_20,SRR6744233,EMRA,fluoroquinolone,chromosome
SRR6744233_21,SRR6744233,KLEBSIELLA PNEUMONIAE KPNH,multidrug,chromosome
SRR6744233_22,SRR6744233,POXTA,multidrug,chromosome
SRR6744233_23,SRR6744233,KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,aminoglycoside,chromosome
SRR6744233_24,SRR6744233,OLEB,multidrug,plasmid
SRR6744233_25,SRR6744233,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6744233_26,SRR6744233,TETQ,tetracycline,chromosome
SRR6744233_27,SRR6744233,HAEMOPHILUS INFLUENZAE PBP3 CONFERRING RESISTANCE TO BETA-LACTAM ANTIBIOTICS,beta-lactam,chromosome
SRR6744233_28,SRR6744233,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744233_29,SRR6744233,TET35,tetracycline,chromosome
SRR6744233_30,SRR6744233,TET37,tetracycline,plasmid
SRR6744233_31,SRR6744233,ERMX,MLS,unclassified
SRR6744234_1,SRR6744234,PMRF,peptide,chromosome
SRR6744234_2,SRR6744234,MDTB,aminocoumarin,unclassified
SRR6744234_3,SRR6744234,MDTC,aminocoumarin,unclassified
SRR6744234_4,SRR6744234,ESCHERICHIA COLI SOXR WITH MUTATION CONFERRING ANTIBIOTIC RESISTANCE,multidrug,unclassified
SRR6744234_5,SRR6744234,ESCHERICHIA COLI SOXS WITH MUTATION CONFERRING ANTIBIOTIC RESISTANCE,multidrug,unclassified
SRR6744234_6,SRR6744234,MDTL,multidrug,plasmid
SRR6744234_7,SRR6744234,MDTC,aminocoumarin,unclassified
SRR6744234_8,SRR6744234,MDTK,fluoroquinolone,chromosome
SRR6744234_9,SRR6744234,APH(3')-VIIA,aminoglycoside,plasmid
SRR6744234_10,SRR6744234,MDTG,fosfomycin,unclassified
SRR6744234_11,SRR6744234,MARA,multidrug,unclassified
SRR6744234_12,SRR6744234,ESCHERICHIA COLI MARR MUTANT CONFERRING ANTIBIOTIC RESISTANCE,multidrug,unclassified
SRR6744234_13,SRR6744234,MDTH,fluoroquinolone,unclassified
SRR6744234_14,SRR6744234,ESCHERICHIA_COLI_LAMB,multidrug,chromosome
SRR6744234_15,SRR6744234,ESCHERICHIA COLI MDFA,multidrug,chromosome
SRR6744234_16,SRR6744234,MDTF,multidrug,unclassified
SRR6744234_17,SRR6744234,TET34,tetracycline,plasmid
SRR6744234_18,SRR6744234,MDTE,multidrug,chromosome
SRR6744234_19,SRR6744234,MDTF,multidrug,chromosome
SRR6744234_20,SRR6744234,SDIA,multidrug,unclassified
SRR6744234_21,SRR6744234,COB(I)ALAMIN_ADENOLSYLTRANSFERASE,unclassified,chromosome
SRR6744234_22,SRR6744234,KDPE,aminoglycoside,chromosome
SRR6744234_23,SRR6744234,MDTB,aminocoumarin,unclassified
SRR6744234_24,SRR6744234,ESCHERICHIA COLI AMPH BETA-LACTAMASE,beta-lactam,chromosome
SRR6744234_25,SRR6744234,UGD,peptide,unclassified
SRR6744234_26,SRR6744234,EMRA,fluoroquinolone,chromosome
SRR6744234_27,SRR6744234,EMRR,fluoroquinolone,chromosome
SRR6744234_28,SRR6744234,DNA-BINDING_PROTEIN_H-NS,unclassified,unclassified
SRR6744234_29,SRR6744234,PBP-1A,beta-lactam,unclassified
SRR6744234_30,SRR6744234,EVGS,multidrug,plasmid
SRR6744234_31,SRR6744234,EPTA,peptide,chromosome
SRR6744234_32,SRR6744234,MDTP,multidrug,unclassified
SRR6744234_33,SRR6744234,MDTO,multidrug,unclassified
SRR6744234_34,SRR6744234,MDTN,multidrug,unclassified
SRR6744234_35,SRR6744234,YOJI,peptide,chromosome
SRR6744234_36,SRR6744234,ACRF,multidrug,unclassified
SRR6744234_37,SRR6744234,ESCHERICHIA COLI AMPC BETA-LACTAMASE,beta-lactam,chromosome
SRR6744234_38,SRR6744234,ESCHERICHIA COLI ACRR WITH MUTATION CONFERRING MULTIDRUG ANTIBIOTIC RESISTANCE,multidrug,unclassified
SRR6744234_39,SRR6744234,ESCHERICHIA COLI ACRA,multidrug,unclassified
SRR6744234_40,SRR6744234,ACRB,multidrug,unclassified
SRR6744234_41,SRR6744234,PATA,fluoroquinolone,chromosome
SRR6744234_42,SRR6744234,ESCHERICHIA_COLI_MIPA,multidrug,chromosome
SRR6744234_43,SRR6744234,ACRA,multidrug,plasmid
SRR6744234_44,SRR6744234,ACRD,aminoglycoside,unclassified
SRR6744234_45,SRR6744234,EVGA,multidrug,unclassified
SRR6744234_46,SRR6744234,EMRK,tetracycline,unclassified
SRR6744234_47,SRR6744234,EMRY,tetracycline,unclassified
SRR6744234_48,SRR6744234,H-NS,multidrug,chromosome
SRR6744234_49,SRR6744234,MDTG,fosfomycin,unclassified
SRR6744234_50,SRR6744234,CRP,multidrug,unclassified
SRR6744234_51,SRR6744234,PENA,beta-lactam,chromosome
SRR6744234_52,SRR6744234,KLEBSIELLA PNEUMONIAE KPNE,multidrug,unclassified
SRR6744234_53,SRR6744234,KLEBSIELLA PNEUMONIAE KPNF,multidrug,unclassified
SRR6744234_54,SRR6744234,BAES,aminoglycoside:aminocoumarin,plasmid
SRR6744234_55,SRR6744234,MDTD,multidrug,plasmid
SRR6744234_56,SRR6744234,MDTC,aminocoumarin,plasmid
SRR6744234_57,SRR6744234,MSBA,nitroimidazole,unclassified
SRR6744234_58,SRR6744234,TOLC,multidrug,unclassified
SRR6744234_59,SRR6744234,ROSB,peptide,chromosome
SRR6744234_60,SRR6744234,ROSA,peptide,chromosome
SRR6744234_61,SRR6744234,TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR,unclassified,chromosome
SRR6744234_62,SRR6744234,CPXA,aminoglycoside:aminocoumarin,chromosome
SRR6744234_63,SRR6744234,KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,aminoglycoside,unclassified
SRR6744234_64,SRR6744234,GADW,multidrug,unclassified
SRR6744234_65,SRR6744234,MDTF,multidrug,unclassified
SRR6744234_66,SRR6744234,OMPF,beta-lactam,chromosome
SRR6744234_67,SRR6744234,BACA,bacitracin,unclassified
SRR6744234_68,SRR6744234,MDTM,multidrug,unclassified
SRR6744234_69,SRR6744234,PMRF,peptide,unclassified
SRR6744234_70,SRR6744234,UGD,peptide,chromosome
SRR6744234_71,SRR6744234,ACRF,multidrug,unclassified
SRR6744234_72,SRR6744234,ACRE,multidrug,unclassified
SRR6744234_73,SRR6744234,ACRS,multidrug,unclassified
SRR6744234_74,SRR6744234,EMRB,fluoroquinolone,unclassified
SRR6744234_75,SRR6744234,EMRA,fluoroquinolone,unclassified
SRR6744234_76,SRR6744234,ESCHERICHIA COLI EMRE,MLS,unclassified
SRR6744234_77,SRR6744234,MACB,MLS,unclassified
SRR6744234_78,SRR6744234,BAER,aminoglycoside:aminocoumarin,unclassified
SRR6744234_79,SRR6744234,MDTB,aminocoumarin,unclassified
SRR6744234_80,SRR6744234,MDTA,aminocoumarin,unclassified
SRR6744234_81,SRR6744234,ESCHERICHIA COLI EF-TU MUTANTS CONFERRING RESISTANCE TO PULVOMYCIN,elfamycin,unclassified
SRR6744234_82,SRR6744234,EMRD,multidrug,chromosome
SRR6744234_83,SRR6744234,ACRD,aminoglycoside,plasmid
SRR6744234_84,SRR6744234,TOLC,multidrug,unclassified
SRR6744234_85,SRR6744234,ACRB,multidrug,plasmid
SRR6744235_1,SRR6744235,RPOB2,multidrug,chromosome
SRR6744235_2,SRR6744235,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744235_3,SRR6744235,CMEC,multidrug,chromosome
SRR6744235_4,SRR6744235,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744236_1,SRR6744236,TETM,tetracycline,unclassified
SRR6744236_2,SRR6744236,VGBB,MLS,unclassified
SRR6744236_3,SRR6744236,RLMA(II),MLS,unclassified
SRR6744236_4,SRR6744236,NMCR,beta-lactam,unclassified
SRR6744236_5,SRR6744236,TETA(48),tetracycline,chromosome
SRR6744236_6,SRR6744236,PENA,beta-lactam,chromosome
SRR6744236_7,SRR6744236,PENA,beta-lactam,chromosome
SRR6744236_8,SRR6744236,PATA,fluoroquinolone,unclassified
SRR6744236_9,SRR6744236,PATA,fluoroquinolone,chromosome
SRR6744236_10,SRR6744236,PATB,fluoroquinolone,chromosome
SRR6744236_11,SRR6744236,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744236_12,SRR6744236,PATB,fluoroquinolone,chromosome
SRR6744236_13,SRR6744236,BACA,bacitracin,chromosome
SRR6744236_14,SRR6744236,LMRP,multidrug,unclassified
SRR6744236_15,SRR6744236,PBP-2X,beta-lactam,ambiguous (phage/chromosome)
SRR6744236_16,SRR6744236,VANXI,glycopeptide,unclassified
SRR6744236_17,SRR6744236,RLMA(II),MLS,unclassified
SRR6744236_18,SRR6744236,TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR,unclassified,chromosome
SRR6744236_19,SRR6744236,TET34,tetracycline,chromosome
SRR6744236_20,SRR6744236,PATA,fluoroquinolone,chromosome
SRR6744236_21,SRR6744236,AADK,aminoglycoside,chromosome
SRR6744236_22,SRR6744236,KPC-22,beta-lactam,chromosome
SRR6744236_23,SRR6744236,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744236_24,SRR6744236,RLMA(II),MLS,chromosome
SRR6744236_25,SRR6744236,HMRM,multidrug,chromosome
SRR6744236_26,SRR6744236,CFXA3,beta-lactam,plasmid
SRR6744236_27,SRR6744236,MTRD,multidrug,unclassified
SRR6744236_28,SRR6744236,PMRA,fluoroquinolone,ambiguous (phage/chromosome)
SRR6744236_29,SRR6744236,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744236_30,SRR6744236,PSEUDOMONAS_AERUGINOSA_EMRE,aminoglycoside,chromosome
SRR6744236_31,SRR6744236,EFRB,multidrug,chromosome
SRR6744236_32,SRR6744236,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6744236_33,SRR6744236,PBP-2X,beta-lactam,chromosome
SRR6744236_34,SRR6744236,MTRE,multidrug,chromosome
SRR6744236_35,SRR6744236,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744236_36,SRR6744236,EFRA,multidrug,chromosome
SRR6744236_37,SRR6744236,TETA(46),tetracycline,chromosome
SRR6744236_38,SRR6744236,TETB(46),tetracycline,chromosome
SRR6744236_39,SRR6744236,RLMA(II),MLS,unclassified
SRR6744236_40,SRR6744236,DFRB4,diaminopyrimidine,plasmid
SRR6744236_41,SRR6744236,MEL,multidrug,chromosome
SRR6744236_42,SRR6744236,MEFA,MLS,chromosome
SRR6744236_43,SRR6744236,QACG,multidrug,chromosome
SRR6744236_44,SRR6744236,PATB,fluoroquinolone,chromosome
SRR6744236_45,SRR6744236,PATA,fluoroquinolone,chromosome
SRR6744236_46,SRR6744236,EFRB,multidrug,phage
SRR6744236_47,SRR6744236,CGB-1,beta-lactam,unclassified
SRR6744236_48,SRR6744236,PATA,fluoroquinolone,chromosome
SRR6744236_49,SRR6744236,PATB,fluoroquinolone,chromosome
SRR6744236_50,SRR6744236,MDTK,fluoroquinolone,chromosome
SRR6744236_51,SRR6744236,RLMA(II),MLS,chromosome
SRR6744236_52,SRR6744236,ESCHERICHIA COLI EF-TU MUTANTS CONFERRING RESISTANCE TO PULVOMYCIN,elfamycin,chromosome
SRR6744236_53,SRR6744236,TETQ,tetracycline,unclassified
SRR6744236_54,SRR6744236,MACA,MLS,chromosome
SRR6744236_55,SRR6744236,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744236_56,SRR6744236,TETR,tetracycline,unclassified
SRR6744236_57,SRR6744236,TET(B),tetracycline,unclassified
SRR6744236_58,SRR6744236,TETC,tetracycline,unclassified
SRR6744236_59,SRR6744236,TETD,tetracycline,unclassified
SRR6744236_60,SRR6744236,TET35,tetracycline,unclassified
SRR6744236_61,SRR6744236,AXYY,multidrug,unclassified
SRR6744236_62,SRR6744236,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744236_63,SRR6744236,MDTG,fosfomycin,chromosome
SRR6744236_64,SRR6744236,TETA(46),tetracycline,unclassified
SRR6744236_65,SRR6744236,TETM,tetracycline,unclassified
SRR6744241_1,SRR6744241,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744241_2,SRR6744241,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744241_3,SRR6744241,RPOB2,multidrug,chromosome
SRR6744243_1,SRR6744243,ERMY,MLS,chromosome
SRR6744243_2,SRR6744243,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744243_3,SRR6744243,RPOB2,multidrug,chromosome
SRR6744243_4,SRR6744243,POXTA,multidrug,chromosome
SRR6744243_5,SRR6744243,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744243_6,SRR6744243,MDTG,fosfomycin,chromosome
SRR6744247_1,SRR6744247,VGAE,multidrug,unclassified
SRR6744249_1,SRR6744249,MEL,multidrug,ambiguous (phage/chromosome)
SRR6744249_2,SRR6744249,MEFA,MLS,ambiguous (phage/chromosome)
SRR6744249_3,SRR6744249,MSRE,multidrug,unclassified
SRR6744249_4,SRR6744249,TETQ,tetracycline,chromosome
SRR6744249_5,SRR6744249,LSAC,multidrug,plasmid
SRR6744249_6,SRR6744249,OPRA,multidrug,chromosome
SRR6744249_7,SRR6744249,QNRB28,fluoroquinolone,plasmid
SRR6744249_8,SRR6744249,RPOB2,multidrug,chromosome
SRR6744249_9,SRR6744249,TETM,tetracycline,plasmid
SRR6744249_10,SRR6744249,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744249_11,SRR6744249,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6744249_12,SRR6744249,ERMZ,MLS,unclassified
SRR6744249_13,SRR6744249,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744249_14,SRR6744249,TETO,tetracycline,plasmid
SRR6744249_15,SRR6744249,RPOB2,multidrug,chromosome
SRR6744249_16,SRR6744249,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,plasmid
SRR6744251_1,SRR6744251,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,plasmid
SRR6744251_2,SRR6744251,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,unclassified
SRR6744252_1,SRR6744252,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744252_2,SRR6744252,MEL,multidrug,chromosome
SRR6744252_3,SRR6744252,MEFA,MLS,chromosome
SRR6744252_4,SRR6744252,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6744252_5,SRR6744252,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,unclassified
SRR6744252_6,SRR6744252,TETM,tetracycline,unclassified
SRR6744252_7,SRR6744252,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744255_1,SRR6744255,VATD,MLS,chromosome
SRR6744255_2,SRR6744255,MSRE,multidrug,unclassified
SRR6744255_3,SRR6744255,ACINETOBACTER BAUMANNII AMVA,multidrug,unclassified
SRR6744255_4,SRR6744255,ADEI,multidrug,unclassified
SRR6744255_5,SRR6744255,MDSA,multidrug,chromosome
SRR6744256_1,SRR6744256,ERMB,MLS,unclassified
SRR6744259_1,SRR6744259,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744259_2,SRR6744259,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744259_3,SRR6744259,TET(C),tetracycline,unclassified
SRR6744259_4,SRR6744259,EFRB,multidrug,unclassified
SRR6744259_5,SRR6744259,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6744259_6,SRR6744259,ERMB,MLS,ambiguous (phage/chromosome)
SRR6744259_7,SRR6744259,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6744259_8,SRR6744259,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744263_1,SRR6744263,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744263_2,SRR6744263,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6744263_3,SRR6744263,ERMB,MLS,ambiguous (phage/chromosome)
SRR6744263_4,SRR6744263,CFXA2,beta-lactam,plasmid
SRR6744263_5,SRR6744263,BAHA,peptide,phage
SRR6744263_6,SRR6744263,ERMC,MLS,plasmid
SRR6744263_7,SRR6744263,LSAC,multidrug,ambiguous (plasmid/phage)
SRR6744263_8,SRR6744263,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744263_9,SRR6744263,TET(C),tetracycline,phage
SRR6744263_10,SRR6744263,LMRC,multidrug,unclassified
SRR6744263_11,SRR6744263,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744263_12,SRR6744263,ARNA,peptide,phage
SRR6744263_13,SRR6744263,ARNA,polymyxin,phage
SRR6744263_14,SRR6744263,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744263_15,SRR6744263,TETQ,tetracycline,phage
SRR6744263_16,SRR6744263,RPOB2,multidrug,chromosome
SRR6744263_17,SRR6744263,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744263_18,SRR6744263,POXTA,multidrug,ambiguous (phage/chromosome)
SRR6744266_1,SRR6744266,VANU,glycopeptide,ambiguous (plasmid/phage)
SRR6744266_2,SRR6744266,APH(7'')-IA,aminoglycoside,chromosome
SRR6744266_3,SRR6744266,UGD,peptide,chromosome
SRR6744266_4,SRR6744266,TETQ,tetracycline,chromosome
SRR6744266_5,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_6,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_7,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_8,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_9,SRR6744266,MSRE,multidrug,chromosome
SRR6744266_10,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_11,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_12,SRR6744266,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744266_13,SRR6744266,VANU,glycopeptide,ambiguous (plasmid/phage)
SRR6744266_14,SRR6744266,NORB,fluoroquinolone,chromosome
SRR6744266_15,SRR6744266,CATB10,phenicol,chromosome
SRR6744266_16,SRR6744266,ERMF,MLS,unclassified
SRR6744266_17,SRR6744266,ERMB,MLS,phage
SRR6744266_18,SRR6744266,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744266_19,SRR6744266,VANU,glycopeptide,plasmid
SRR6744266_20,SRR6744266,ERMA,MLS,plasmid
SRR6744266_21,SRR6744266,UGD,peptide,ambiguous (phage/chromosome)
SRR6744266_22,SRR6744266,RPOB2,multidrug,chromosome
SRR6744266_23,SRR6744266,VANU,glycopeptide,phage
SRR6744266_24,SRR6744266,BAHA,peptide,unclassified
SRR6744266_25,SRR6744266,VANXD,glycopeptide,chromosome
SRR6744266_26,SRR6744266,TET37,tetracycline,phage
SRR6744266_27,SRR6744266,VANU,glycopeptide,chromosome
SRR6744266_28,SRR6744266,VANU,glycopeptide,chromosome
SRR6744266_29,SRR6744266,UGD,peptide,unclassified
SRR6744266_30,SRR6744266,CFXA2,beta-lactam,unclassified
SRR6744266_31,SRR6744266,APH(3')-IIB,aminoglycoside,plasmid
SRR6744266_32,SRR6744266,MEL,multidrug,chromosome
SRR6744266_33,SRR6744266,MEFA,MLS,chromosome
SRR6744266_34,SRR6744266,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6744266_35,SRR6744266,EFRB,multidrug,chromosome
SRR6744266_36,SRR6744266,TET32,tetracycline,unclassified
SRR6744266_37,SRR6744266,TETO,tetracycline,ambiguous (phage/chromosome)
SRR6744266_38,SRR6744266,AAC(3)-IID,aminoglycoside,chromosome
SRR6744266_39,SRR6744266,SRT-2,beta-lactam,phage
SRR6744266_40,SRR6744266,OXA-85,beta-lactam,unclassified
SRR6744266_41,SRR6744266,UGD,peptide,chromosome
SRR6744266_42,SRR6744266,ERMG,MLS,unclassified
SRR6744266_43,SRR6744266,RPOB2,multidrug,chromosome
SRR6744269_1,SRR6744269,RPOB2,multidrug,chromosome
SRR6744269_2,SRR6744269,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744269_3,SRR6744269,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744269_4,SRR6744269,MDTG,fosfomycin,chromosome
SRR6744269_5,SRR6744269,POXTA,multidrug,ambiguous (phage/chromosome)
SRR6744271_1,SRR6744271,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
